Original Statement,tp,tn,fp,fn,score
"o_1: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",781,274,370,140,74.02843601895735
Alternative Statements,tp,tn,fp,fn,Score
"m_0: (v(i=0, t=0)==c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",2,0,1149,414,100.0
"m_9: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=10)!=c(i=0, t=None))",1055,0,510,0,100.0
"m_142: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=32)<c(i=0, t=None))",916,139,226,262,86.82464454976304
"m_141: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=31)<c(i=0, t=None))",915,140,227,262,86.7298578199052
"m_143: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=33)<c(i=0, t=None))",915,140,227,260,86.7298578199052
"m_139: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=29)<c(i=0, t=None))",914,141,230,261,86.63507109004739
"m_140: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=30)<c(i=0, t=None))",914,141,229,261,86.63507109004739
"m_144: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=34)<c(i=0, t=None))",914,141,228,258,86.63507109004739
"m_138: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=28)<c(i=0, t=None))",913,142,232,260,86.54028436018957
"m_145: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=35)<c(i=0, t=None))",913,142,229,256,86.54028436018957
"m_146: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=36)<c(i=0, t=None))",912,143,230,254,86.44549763033176
"m_147: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=37)<c(i=0, t=None))",911,144,231,252,86.35071090047394
"m_148: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=38)<c(i=0, t=None))",910,144,232,251,86.33776091081594
"m_149: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=39)<c(i=0, t=None))",908,145,234,249,86.2298195631529
"m_137: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=27)<c(i=0, t=None))",908,147,238,255,86.06635071090048
"m_150: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=40)<c(i=0, t=None))",903,149,239,244,85.83650190114068
"m_151: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=41)<c(i=0, t=None))",899,152,243,240,85.53758325404377
"m_136: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=26)<c(i=0, t=None))",900,155,246,248,85.30805687203792
"m_152: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=42)<c(i=0, t=None))",892,158,250,233,84.95238095238096
"m_87: (v(i=0, t=77)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",859,155,226,258,84.71400394477317
"m_85: (v(i=0, t=75)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",860,156,227,257,84.64566929133859
"m_135: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=25)<c(i=0, t=None))",893,162,253,242,84.64454976303317
"m_153: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=43)<c(i=0, t=None))",887,162,255,228,84.55672068636797
"m_86: (v(i=0, t=76)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",858,157,228,256,84.5320197044335
"m_154: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=44)<c(i=0, t=None))",884,164,258,225,84.35114503816794
"m_84: (v(i=0, t=74)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",857,159,231,254,84.3503937007874
"m_88: (v(i=0, t=78)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",854,159,230,254,84.3040473840079
"m_83: (v(i=0, t=73)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",856,160,233,253,84.25196850393701
"m_134: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=24)<c(i=0, t=None))",888,167,258,238,84.17061611374407
"m_82: (v(i=0, t=72)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",854,162,236,251,84.05511811023622
"m_133: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=23)<c(i=0, t=None))",883,172,263,234,83.69668246445498
"m_89: (v(i=0, t=79)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",847,165,236,248,83.69565217391305
"m_155: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=45)<c(i=0, t=None))",876,171,266,217,83.66762177650429
"m_90: (v(i=0, t=80)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",843,168,240,244,83.38278931750742
