c_0: Stopping Threshold,c_1: Stopping Speed
300,0
v_0: Veh 2 Distance,v_1: Veh 2 Speed
687,94.5
687,99.225
687,104.18625
687,109.3955625
687,114.8653406
687,120.6086077
687,126.639038
687,132.9709899
687,139.6195394
365,146.6005164
2550,153.9305422
2550,161.6270693
2550,165
2550,165
1122,165
1920,165
1791,165
1007,165
899,165
2550,165
1290,165
1965,165
1210,165
1183,165
1155,165
2550,165
1534,165
1466,90
1452,90
1426,90
2550,90
1397,94.5
1351,99.225
1376,104.18625
2550,109.3955625
2550,114.8653406
1397,90
1389,94.5
2550,99.225
2550,104.18625
2550,109.3955625
2550,114.8653406
2550,120.6086077
1337,126.639038
2550,90
2550,90
2550,90
1210,90
2550,90
893,94.5
2420,99.225
2550,104.18625
2550,109.3955625
1271,114.8653406
1702,120.6086077
1162,126.639038
1201,90
1196,90
1202,90
1254,90
2550,94.5
2550,99.225
1237,104.18625
2550,109.3955625
1227,114.8653406
1271,120.6086077
2354,126.639038
2550,132.9709899
2550,139.6195394
2271,146.6005164
2253,153.9305422
2238,161.6270693
1227,165
2550,165
2265,165
1155,165
1179,165
1119,165
2290,165
2116,165
2550,165
2100,165
1031,165
2550,165
2108,165
2550,165
2550,165
2550,165
970,165
2550,165
2550,165
1808,165
1762,165
1722,165
1694,165
1679,165
1650,165
1611,165
1603,165
1564,165
1536,165
1519,165
1472,165
1456,165
1435,165
1418,165
1387,165
1385,165
1385,165
1326,165
1326,165
1326,165
1254,165
1227,90
1210,90
1196,90
1202,90
1902,90
1877,94.5
1174,99.225
1168,104.18625
1139,109.3955625
1156,114.8653406
1800,120.6086077
1783,126.639038
1162,132.9709899
1767,139.6195394
1746,146.6005164
1718,153.9305422
1702,161.6270693
1672,90
1638,90
1633,90
1619,90
1089,90
1076,90
1093,94.5
1076,99.225
326,90
1173,94.5
2550,99.225
362,104.18625
2304,109.3955625
2550,114.8653406
1138,120.6086077
2550,126.639038
1525,132.9709899
1119,139.6195394
2550,146.6005164
2550,153.9305422
1166,161.6270693
2550,165
954,165
1111,165
1054,165
1046,165
2550,165
1012,165
972,165
984,165
1054,165
982,165
1024,165
899,165
921,165
2409,165
937,165
842,165
840,165
818,165
782,165
2550,165
780,165
765,165
757,165
757,165
748,165
1679,165
734,165
750,165
728,165
728,165
2550,165
2550,165
2124,165
2550,165
2550,165
2550,165
1372,165
2550,165
1288,165
1286,165
1255,165
2550,165
2282,165
2550,165
2550,165
2154,165
2550,90
1145,90
1119,90
1093,90
1058,90
1044,90
1052,90
595,90
605,94.5
559,99.225
574,104.18625
574,109.3955625
758,90
2550,90
2550,90
2550,90
1848,94.5
2550,99.225
1746,104.18625
2550,90
2550,90
864,90
864,90
864,90
758,90
658,90
654,94.5
639,99.225
660,104.18625
670,90
714,94.5
714,99.225
714,104.18625
689,109.3955625
698,114.8653406
681,120.6086077
728,126.639038
693,132.9709899
698,139.6195394
742,146.6005164
726,153.9305422
730,161.6270693
689,165
726,165
718,165
689,165
704,165
326,90
693,94.5
658,99.225
658,104.18625
658,109.3955625
658,114.8653406
705,120.6086077
710,126.639038
720,132.9709899
710,139.6195394
706,146.6005164
712,153.9305422
744,161.6270693
736,165
736,165
691,165
680,165
720,165
679,165
704,165
704,165
693,165
693,165
693,165
693,165
578,165
672,165
2550,165
2550,165
2550,165
2550,165
2167,165
2550,165
2550,165
1557,165
891,165
2550,165
1503,165
2550,165
2550,165
1422,165
1436,165
2550,165
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
2550,90
563,94.5
592,99.225
635,104.18625
609,90
609,90
2550,90
2550,94.5
2550,99.225
2550,104.18625
2550,90
2550,90
674,90
654,90
740,90
2550,94.5
666,99.225
685,104.18625
697,109.3955625
693,114.8653406
679,120.6086077
651,126.639038
639,132.9709899
705,139.6195394
697,146.6005164
668,153.9305422
643,161.6270693
668,165
658,165
624,165
609,165
563,165
573,165
553,165
569,165
555,165
534,165
537,165
519,165
517,165
479,165
481,165
479,165
447,165
445,165
429,165
436,165
428,165
389,165
404,165
357,165
340,165
321,90
321,90
334,94.5
338,99.225
376,104.18625
357,109.3955625
326,90
328,90
357,94.5
321,90
392,94.5
340,99.225
340,104.18625
321,90
340,94.5
321,90
326,90
329,90
383,94.5
357,99.225
340,104.18625
329,90
389,94.5
408,99.225
408,104.18625
2550,109.3955625
353,114.8653406
340,120.6086077
345,126.639038
1316,132.9709899
939,139.6195394
1299,146.6005164
1389,153.9305422
1993,90
1944,90
1944,90
389,94.5
353,99.225
404,104.18625
2550,109.3955625
2550,114.8653406
383,120.6086077
383,90
2550,90
326,90
391,94.5
393,99.225
2550,104.18625
326,90
392,94.5
435,99.225
2550,104.18625
418,109.3955625
418,114.8653406
404,120.6086077
425,90
447,90
397,90
384,90
393,94.5
411,99.225
