Veh 1 normal speed,Veh 1 max speed,Veh 1 min speed,Veh 1 color threshold,Veh 1 distance threshold 1,Veh 1 distance threshold 2,Veh 2 normal speed,Veh 2 max speed,Veh 2 min speed,Veh 2 color threshold,Veh 2 distance threshold 1,Veh 2 distance threshold 2,,,,,,,,,
90,130,80,37,500,600,90,165,80,40,300,330,,,,,,,,,
 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance
41,2336,91,0,0,3.5,0,-1,52,687,99.225,0,0,12,25,-1,1,256,0,90,1980
17,2049,91.5,0,0,-20.5,0,-24,54,687,104.18625,0,0,14,39,2,1,256,0,90.5,2336
33,2019,92,0,0,-4.5,0,16,49,687,109.3955625,0,0,9,0,-5,1,418,0,91,2049
67,2282,92.5,0,0,29.5,0,34,22,687,114.8653406,0,0,-18,0,-27,1,558,0,91.5,2019
37,1936,93,0,0,-0.5,0,-30,19,687,120.6086077,0,0,-21,-21,-3,1,693,0,92,2282
6,1946,93.5,0,0,-31.5,-31.5,-31,48,687,126.639038,0,0,8,0,29,1,837,0,92.5,1936
43,1919,94,0,0,5.5,0,37,62,687,132.9709899,0,0,22,22,14,1,981,0,93,1946
77,1927,94.5,0,0,39.5,39.5,34,67,687,139.6195394,0,0,27,49,5,1,1127,0,93.5,1919
46,1885,95,0,0,8.5,0,-31,17,365,146.6005164,0,0,-23,0,-50,1,1268,0,94,1927
5,1862,95.5,0,0,-32.5,0,-41,5,2550,153.9305422,0,0,-35,-35,-12,1,1417,0,94.5,1885
36,1831,96,0,0,-1.5,0,31,27,2550,161.6270693,0,0,-13,-48,22,1,1557,0,95,1862
72,1843,96.5,0,0,34.5,0,36,71,2550,165,0,0,31,0,44,1,1726,0,95.5,1831
41,1807,97,0,0,3.5,0,-31,62,2550,165,0,0,22,22,-9,1,1877,0,96,1843
6,1795,97.5,0,0,-31.5,0,-35,36,1122,165,0,0,-4,0,-26,1,2040,0,96.5,1807
22,1762,98,0,0,-15.5,-15.5,16,10,1920,165,0,0,-30,-30,-26,1,2199,0,96.5,1807
75,1748,98.5,0,0,37.5,0,53,20,1791,165,0,0,-20,-50,10,1,2336,0,97,1795
69,1740,99,0,0,31.5,31.5,-6,69,1007,165,0,0,29,0,49,1,2336,0,97.5,1762
10,1722,99.5,0,0,-27.5,0,-59,74,899,165,0,0,34,34,5,1,2481,0,98,1748
12,1708,100,0,0,-25.5,-25.5,2,69,2550,165,0,0,29,63,-5,1,2628,0,98.5,1740
63,1692,100.5,0,0,25.5,0,51,27,1290,165,0,0,-13,0,-42,1,2778,0,99,1722
64,1676,101,0,0,26.5,26.5,1,19,1965,165,0,0,-21,-21,-8,1,2930,0,99.5,1708
12,1662,101.5,0,0,-25.5,0,-52,36,1210,165,0,0,-4,0,17,1,3077,0,100,1692
6,1640,102,0,0,-31.5,-31.5,-6,74,1183,165,0,0,34,0,38,1,3247,0,100.5,1676
55,1628,102.5,0,0,17.5,0,49,76,1155,165,0,0,36,36,2,1,3391,0,101,1662
69,1607,103,0,0,31.5,31.5,14,80,2550,165,0,0,40,76,4,1,3537,0,101.5,1640
13,1588,103.5,0,0,-24.5,0,-56,79,1534,165,0,0,39,115,-1,1,3677,0,102,1628
4,1573,104,0,0,-33.5,-33.5,-9,78,1466,90,0,0,38,153,-1,1,3817,0,102.5,1607
56,1558,104.5,0,0,18.5,0,52,73,1452,90,0,0,33,186,-5,1,3967,0,103,1588
73,1547,105,0,0,35.5,35.5,17,70,1426,90,0,0,30,216,-3,1,4116,0,103.5,1573
12,1528,105.5,0,0,-25.5,0,-61,18,2550,90,0,0,-22,0,-52,1,4270,0,104,1558
5,1511,106,0,0,-32.5,-32.5,-7,5,1397,94.5,0,0,-35,-35,-13,1,4418,0,104.5,1547
58,1499,106.5,0,0,20.5,0,53,66,1351,99.225,0,0,26,0,61,1,4570,0,105,1528
74,1482,107,0,0,36.5,36.5,16,82,1376,104.18625,0,0,42,42,16,1,4720,0,105.5,1511
16,1464,107.5,0,0,-21.5,0,-58,87,2550,109.3955625,0,0,47,89,5,1,4864,0,106,1499
5,1452,108,0,0,-32.5,-32.5,-11,77,2550,114.8653406,0,0,37,126,-10,1,5159,0,107,1464
46,1430,108.5,0,0,8.5,0,41,9,1397,90,0,0,-31,0,-68,1,5307,0,107.5,1452
68,1413,109,0,0,30.5,30.5,22,5,1389,94.5,0,0,-35,-35,-4,1,5458,0,108,1430
21,1397,109.5,0,0,-16.5,0,-47,9,2550,99.225,0,0,-31,-66,4,1,5617,0,108.5,1413
5,1385,110,0,0,-32.5,-32.5,-16,67,2550,104.18625,0,0,27,0,58,1,5758,0,109,1397
43,1381,110.5,0,0,5.5,0,38,70,2550,109.3955625,0,0,30,30,3,1,5912,0,109.5,1385
71,1352,111,0,0,33.5,33.5,28,75,2550,114.8653406,0,0,35,65,5,1,6051,0,109.5,1385
41,1352,111.5,0,0,3.5,0,-30,74,2550,120.6086077,0,0,34,99,-1,1,6051,0,110,1381
8,1352,112,0,0,-29.5,0,-33,73,1337,126.639038,0,0,33,132,-1,1,6197,0,110.5,1352
53,1352,112.5,0,0,15.5,0,45,71,2550,90,0,0,31,163,-2,1,6469,0,111,1352
78,1352,113,0,0,40.5,40.5,25,70,2550,90,0,0,30,193,-1,1,6469,0,111.5,1352
78,1352,113.5,0,0,40.5,81,0,70,2550,90,0,0,30,223,0,1,6611,0,112,1352
78,1352,114,0,0,40.5,121.5,0,66,1210,90,0,0,26,249,-4,1,6749,0,112.5,1352
79,1352,114.5,0,0,41.5,163,1,31,2550,90,0,0,-9,0,-35,1,6887,0,113,1352
78,1227,115,0,0,40.5,203.5,-1,5,893,94.5,0,0,-35,-35,-26,1,7027,0,113.5,1352
61,1219,115.5,0,0,23.5,227,-17,27,2420,99.225,0,0,-13,-48,22,1,7311,0,114.5,1227
